Code,Description
03212213,Dried peas.
03212220,Pulses.
03220000,"Vegetables, fruits and nuts."
03221000,Vegetables.
03221100,Root and tuber vegetables.
03221110,Root vegetables.
03221111,Beetroot.
03221112,Carrots.
03221113,Onions.
03221114,Turnips.
03221120,Tuber vegetables.
03221200,Fruit vegetables.
03221210,Beans.
03221211,Broad beans.
03221212,Green beans.
03221213,Runner beans.
03221220,Peas.
03221221,Garden peas.
03221222,Mange-tout.
03221230,Peppers.
03221240,Tomatoes.
03221250,Courgettes.
03221260,Mushrooms.
03221270,Cucumbers.
03221300,Leaf vegetables.
03221310,Lettuce.
03221320,Salad leaves.
03221330,Artichokes.
03221340,Spinach.
03221400,Cabbage vegetables.
03221410,Cabbage.
03221420,Cauliflower.
03221430,Broccoli.
03221440,Brussels sprouts.
03222000,Fruit and nuts.
03222100,Tropical fruit and nuts.
03222110,Tropical fruit.
03222111,Bananas.
03222112,Pineapples.
03222113,Mangoes.
03222114,Dates.
03222115,Raisins.
03222116,Figs.
03222117,Avocados.
03222118,Kiwi fruit.
03222120,Coconuts.
03222200,Citrus fruit.
03222210,Lemons.
03222220,Oranges.
03222230,Grapefruit.
03222240,Tangerines.
03222250,Limes.
03222300,Non-tropical fruit.
03222310,Berry fruit.
03222311,Currants.
03222312,Gooseberries.
03222313,Strawberries.
03222314,Raspberries.
03222315,Cranberries.
03222320,"Apples, pears and quinces."
03222321,Apples.
03222322,Pears.
03222323,Quinces.
03222330,Stone fruit.
03222331,Apricots.
03222332,Peaches.
03222333,Cherries.
03222334,Plums.
03222340,Grapes.
03222341,Table grapes.
03222342,Wine grapes.
03222400,Olives.
03300000,"Farming, hunting and fishing products."
03310000,"Fish, crustaceans and aquatic products."
03311000,Fish.
03311100,Flat fish.
03311110,Sole.
03311120,Plaice.
03311200,Fish of the cod family.
03311210,Cod.
03311220,Pollock.
03311230,Hake.
03311240,Haddock.
03311300,Herring.
03311400,Tuna.
03311500,Whiting.
03311600,Whitebait.
03311700,Salmon.
03312000,Crustaceans.
03312100,Oysters.
03312200,Shellfish.
03312300,Aquatic invertebrates.
03313000,Aquatic products.
03313100,Corals or similar products.
03313200,Natural sponges.
03313300,Seaweeds.
03313310,Algae.
03320000,"Cattle, livestock and small animals."
03321000,Cattle.
03321100,Bovine cattle.
03321200,Calves.
03322000,Livestock.
03322100,Sheep.
03322200,Goats.
03322300,Horses.
03323000,Pigs.
03324000,Live poultry.
03325000,Small animals.
03325100,Rabbits.
03325200,Hares.
03330000,Farm animal products.
03331000,Fresh milk from sheep and goats.
03331100,Sheep's milk.
03331200,Goats' milk.
03332000,Wool and animal hair.
03332100,Shorn wool.
03332200,Animal hair.
03333000,Fresh cows' milk.
03340000,Animal ear tags.
03341000,Bovine ear tags.
03400000,Forestry and logging products.
03410000,Wood.
03411000,Coniferous wood.
03412000,Tropical wood.
03413000,Fuel wood.
03414000,Rough wood.
03415000,Softwood.
03416000,Wood waste.
03417000,Scrap wood.
03417100,Sawdust.
03418000,Logs.
03418100,Hardwood.
03419000,Timber.
03419100,Timber products.
03419200,Mining timber.
03420000,Gums.
03421000,Balsams.
03422000,Lac.
03430000,Cork.
03431000,Natural cork.
03432000,Basketware.
03432100,Wickerwork.
03440000,Forestry products.
03441000,"Ornamental plants, grasses, mosses or lichens."
03450000,Tree-nursery products.
03451000,Plants.
03451100,Bedding plants.
03451200,Flower bulbs.
03451300,Shrubs.
03452000,Trees.
03460000,Pulp.
03461000,Wood pulp.
03461100,Chemical wood pulp.
09000000,"Petroleum products, fuel, electricity and other sources of energy."
09100000,Fuels.
09110000,Solid fuels.
09111000,Coal and coal-based fuels.
09111100,Coal.
09111200,Coal-based fuels.
09111210,Hard coal.
09111220,Briquettes.
09111300,Fossil fuels.
09111400,Wood fuels.
09112000,Lignite and peat.
09112100,Lignite.
09112200,Peat.
09113000,Coke.
09120000,Gaseous fuels.
09121000,"Coal gas, mains gas or similar gases."
09121100,Coal gas or similar gases.
09121200,Mains gas.
09122000,Propane and butane.
09122100,Propane gas.
09122110,Liquefied propane gas.
09122200,Butane gas.
09122210,Liquefied butane gas.
09123000,Natural gas.
09130000,Petroleum and distillates.
09131000,Aviation kerosene.
09131100,Kerosene jet type fuels.
09132000,Petrol.
09132100,Unleaded petrol.
09132200,Leaded petrol.
09132300,Petrol with ethanol.
09133000,Liquefied Petroleum Gas (LPG).
09134000,Gas oils.
09134100,Diesel oil.
09134200,Diesel fuel.
09134210,Diesel fuel (0.2).
09134220,Diesel fuel (EN 590).
09134230,Biodiesel.
09134231,Biodiesel (B20).
09134232,Biodiesel (B100).
09135000,Fuel oils.
09135100,Heating oil.
09135110,Low-sulphur combustible oils.
09200000,"Petroleum, coal and oil products."
09210000,Lubricating preparations.
09211000,Lubricating oils and lubricating agents.
09211100,Motor oils.
09211200,Compressor lube oils.
09211300,Turbine lube oils.
09211400,Gear oils.
09211500,Reductor oils.
09211600,Oils for use in hydraulic systems and other purposes.
09211610,Liquids for hydraulic purposes.
09211620,Mould release oils.
09211630,Anti-corrosion oils.
09211640,Electrical insulating oils.
09211650,Brake fluids.
09211700,White oils and liquid paraffin.
09211710,White oils.
09211720,Liquid paraffin.
09211800,Petroleum oils and preparations.
09211810,Light oils.
09211820,Petroleum oils.
09211900,Lubricating traction oils.
09220000,"Petroleum jelly, waxes and special spirits."
09221000,Petroleum jelly and waxes.
09221100,Petroleum jelly.
09221200,Paraffin wax.
09221300,Petroleum wax.
09221400,Petroleum residues.
09222000,Special spirits.
09222100,White spirit.
09230000,Petroleum (crude).
09240000,Oil and Coal-related products.
09241000,Bituminous or oil shale.
09242000,Coal-related products.
09242100,Coal oil.
09300000,"Electricity, heating, solar and nuclear energy."
09310000,Electricity.
09320000,"Steam, hot water and associated products."
09321000,Hot water.
09322000,Steam.
09323000,District heating.
09324000,Long-distance heating.
09330000,Solar energy.
09331000,Solar panels.
09331100,Solar collectors for heat production.
09331200,Solar photovoltaic modules.
09332000,Solar installation.
09340000,Nuclear fuels.
09341000,Uranium.
09342000,Plutonium.
09343000,Radioactive materials.
09344000,Radio-isotopes.
14000000,"Mining, basic metals and related products."
14200000,Sand and clay.
14210000,"Gravel, sand, crushed stone and aggregates."
14211000,Sand.
14211100,Natural sand.
14212000,"Granules, chippings, stone powder, pebbles, gravel, broken and crushed stone, stone mixtures, sand-gravel mixtures and other aggregates."
14212100,Pebbles and gravel.
14212110,Pebbles.
14212120,Gravel.
14212200,Aggregates.
14212210,Sand-gravel mix.
14212300,Broken and crushed stone.
14212310,Ballast.
14212320,Crushed granite.
14212330,Crushed basalt.
14212400,Soil.
14212410,Topsoil.
14212420,Subsoil.
14212430,Stone chippings.
14213000,"Macadam, tarmac and tar sands."
14213100,Macadam.
14213200,Tarmac.
14213300,Tar sands.
14220000,Clay and kaolin.
14221000,Clay.
14222000,Kaolin.
14300000,Chemical and fertiliser minerals.
14310000,Fertiliser minerals.
14311000,"Natural calcium, aluminium calcium phosphate and crude natural potassium salts."
14311100,Natural calcium.
14311200,Aluminium calcium phosphates.
14311300,Crude natural potassium salts.
14312000,Iron pyrites.
14312100,Unroasted iron pyrites.
14320000,Chemical minerals.
14400000,Salt and pure sodium chloride.
14410000,Rock salt.
14420000,Sea salt.
14430000,Evaporated salt and pure sodium chloride.
14450000,Salt in brine.
14500000,Related mining and quarrying products.
14520000,Precious and semi-precious stones; pumice stone; emery; natural abrasives; other minerals and precious metals.
14521000,Precious and semi-precious stones.
14521100,Precious stones.
14521140,Dust or powder of precious stones.
14521200,Semi-precious stones.
14521210,Dust or powder of semi-precious stones.
14522000,Industrial diamonds; pumice stone; emery and other natural abrasives.
14522100,Pumice stone.
14522200,Industrial diamonds.
14522300,Emery.
14522400,Natural abrasives.
14523000,"Related minerals, precious metals and associated products."
14523100,Minerals.
14523200,Gold.
14523300,Silver.
14523400,Platinum.
14600000,Metal ores and alloys.
14610000,Metal ores.
14611000,Iron ores.
14612000,Non-ferrous metal ores.
14612100,Copper ores.
14612200,Nickel ores.
14612300,Aluminium ores.
14612400,Precious-metal ores.
14612500,Lead ores.
14612600,Zinc ores.
14612700,Tin ores.
14613000,Uranium and thorium ores.
14613100,Uranium ores.
14613200,Thorium ores.
14614000,Miscellaneous ores.
14620000,Alloys.
14621000,Ferro-alloys.
14621100,Non-ECSC ferro-alloys.
14621110,Ferro-manganese.
14621120,Ferro-chromium.
14621130,Ferro-nickel.
14622000,Steel.
14630000,"Slag, dross, ferrous waste and scrap."
14700000,Basic metals.
14710000,"Iron, lead, zinc, tin and copper."
14711000,Iron.
14711100,Pig iron.
14712000,Lead.
14713000,Zinc.
14714000,Tin.
14715000,Copper.
14720000,"Aluminium, nickel, scandium, titanium and vanadium."
14721000,Aluminium.
14721100,Aluminium oxide.
14722000,Nickel.
14723000,Scandium.
14724000,Titanium.
14725000,Vanadium.
14730000,"Chromium, manganese, cobalt, yttrium and zirconium."
14731000,Chromium.
14732000,Manganese.
14733000,Cobalt.
14734000,Yttrium.
14735000,Zirconium.
14740000,"Molybdenum, technetium, ruthenium and rhodium."
14741000,Molybdenum.
14742000,Technetium.
14743000,Ruthenium.
14744000,Rhodium.
14750000,"Cadmium, lutetium, hafnium, tantalum and tungsten."
14751000,Cadmium.
14752000,Lutetium.
14753000,Hafnium.
14754000,Tantalum.
14755000,Tungsten.
14760000,"Iridium, gallium, indium, thallium and barium."
14761000,Iridium.
14762000,Gallium.
14763000,Indium.
14764000,Thallium.
14765000,Barium.
14770000,"Caesium, strontium, rubidium and calcium."
14771000,Caesium.
14772000,Strontium.
14773000,Rubidium.
14774000,Calcium.
14780000,"Potassium, magnesium, sodium and lithium."
14781000,Potassium.
14782000,Magnesium.
14783000,Sodium.
14784000,Lithium.
14790000,"Niobium, osmium, rhenium and palladium."
14791000,Niobium.
14792000,Osmium.
14793000,Rhenium.
14794000,Palladium.
14800000,Miscellaneous non-metallic mineral products.
14810000,Abrasive products.
14811000,"Millstones, grindstones and grinding wheels."
14811100,Millstones.
14811200,Grindstones.
14811300,Grinding wheels.
14812000,Abrasive powder or grain.
14813000,Artificial corundum.
14814000,Artificial graphite.
14900000,Recovered secondary raw materials.
14910000,Recovered secondary metal raw materials.
14920000,Recovered secondary non-metal raw materials.
15000000,"Food, beverages, tobacco and related products."
15100000,"Animal products, meat and meat products."
15110000,Meat.
15111000,Bovine meat.
15111100,Beef.
15111200,Veal.
15112000,Poultry.
15112100,Fresh poultry.
15112110,Geese.
15112120,Turkeys.
15112130,Chickens.
15112140,Ducks.
15112300,Poultry livers.
15112310,Foie gras.
15113000,Pork.
15114000,Offal.
15115000,Lamb and mutton.
15115100,Lamb.
15115200,Mutton.
15117000,Goat meat.
15118000,"Horse, ass, mule or hinny meat."
15118100,Horsemeat.
15118900,"Ass, mule or hinny meat."
15119000,Various meats.
15119100,Rabbit meat.
15119200,Hare meat.
15119300,Game.
15119400,Frogs' legs.
15119500,Pigeons.
15119600,Fish meat.
15130000,Meat products.
15131000,Meat preserves and preparations.
15131100,Sausage-meat products.
15131110,Sausage meat.
15131120,Sausage products.
15131130,Sausages.
15131134,Black pudding and other blood sausages.
15131135,Poultry sausages.
15131200,"Dried, salted, smoked or seasoned meat."
15131210,Gammon.
15131220,Bacon.
15131230,Salami.
15131300,Liver preparations.
15131310,Pâté.
15131320,Preparations of goose or duck liver.
15131400,Pork products.
15131410,Ham.
15131420,Meatballs.
15131490,Prepared pork dishes.
15131500,Poultry products.
15131600,Beef and veal products.
15131610,Beef meatballs.
15131620,Minced beef.
15131640,Beefburgers.
15131700,Meat preparations.
15200000,Prepared and preserved fish.
15210000,"Fish fillets, fish livers and roe."
15211000,Fish fillets.
15211100,Fresh fish fillets.
15212000,Fish roe.
15213000,Fish livers.
15220000,"Frozen fish, fish fillets and other fish meat."
15221000,Frozen fish.
15229000,Frozen fish products.
15230000,Dried or salted fish; fish in brine; smoked fish.
15231000,Dried fish.
15232000,Salted fish.
15233000,Fish in brine.
15234000,Smoked fish.
15235000,Preserved fish.
15240000,Canned or tinned fish and other prepared or preserved fish.
15241000,"Coated, canned or tinned fish."
15241100,Canned salmon.
15241200,Prepared or preserved herring.
15241300,Sardines.
15241400,Canned tuna.
15241500,Mackerel.
15241600,Anchovies.
15241700,Fish fingers.
15241800,Coated fish preparations.
15242000,Prepared fish dishes.
15243000,Preparations of fish.
15244000,Caviar and fish eggs.
15244100,Caviar.
15244200,Fish eggs.
15250000,Seafood.
15251000,Frozen crustaceans.
15252000,Prepared or preserved crustaceans.
15253000,Shellfish products.
15300000,"Fruit, vegetables and related products."
15310000,Potatoes and potato products.
15311000,Frozen potatoes.
15311100,Chips or french fries.
15311200,"Diced, sliced and other frozen potatoes."
15312000,Potato products.
15312100,Instant mashed potatoes.
15312200,Part-fried potato chips.
15312300,Potato crisps.
15312310,Flavoured potato crisps.
15312400,Potato snacks.
15312500,Potato croquettes.
15313000,Processed potatoes.
15320000,Fruit and vegetable juices.
15321000,Fruit juices.
15321100,Orange juice.
15321200,Grapefruit juice.
15321300,Lemon juice.
15321400,Pineapple juice.
15321500,Grape juice.
15321600,Apple juice.
15321700,Mixtures of unconcentrated juices.
15321800,Concentrated juices.
15322000,Vegetable juices.
15322100,Tomato juice.
15330000,Processed fruit and vegetables.
15331000,Processed vegetables.
15331100,Fresh or frozen vegetables.
15331110,Processed root vegetables.
15331120,Processed tuber vegetables.
15331130,"Beans, peas, peppers, tomatoes and other vegetables."
15331131,Processed beans.
15331132,Processed peas.
15331133,Split peas.
15331134,Processed tomatoes.
15331135,Processed mushrooms.
15331136,Processed peppers.
15331137,Soybean sprouts.
15331138,Truffles.
15331140,Leaf and cabbage vegetables.
15331142,Processed cabbage.
15331150,Processed pulses.
15331170,Frozen vegetables.
15331400,Preserved and/or canned vegetables.
15331410,Beans in tomato sauce.
15331411,Baked beans.
15331420,Preserved tomatoes.
15331423,Canned tomatoes.
15331425,Tomato purée.
15331427,Concentrated tomato purée.
15331428,Tomato sauce.
15331430,Canned mushrooms.
15331450,Processed olives.
15331460,Canned vegetables.
15331461,Canned sauerkraut.
15331462,Canned peas.
15331463,Canned shelled beans.
15331464,Canned whole beans.
15331465,Canned asparagus.
15331466,Canned olives.
15331470,Sweet corn.
15331480,Provisionally preserved vegetables.
15331500,Vegetables preserved in vinegar.
15332000,Processed fruit and nuts.
15332100,Processed fruit.
15332140,Processed apples.
15332150,Processed pears.
15332160,Processed bananas.
15332170,Rhubarb.
15332180,Melons.
15332200,Jams and marmalades; fruit jellies; fruit or nut purée and pastes.
15332230,Marmalades.
15332231,Orange marmalade.
15332232,Lemon marmalade.
15332240,Fruit jellies.
15332250,Fruit pastes.
15332260,Nut pastes.
15332261,Peanut butter.
15332270,Fruit purées.
15332290,Jams.
15332291,Apricot jam.
15332292,Blackberry jam.
15332293,Blackcurrant jam.
15332294,Cherry jam.
15332295,Raspberry jam.
15332296,Strawberry jam.
15332300,Processed nuts.
15332310,Roasted or salted nuts.
15332400,Preserved fruits.
15332410,Dried fruit.
15332411,Processed currants.
15332412,Processed raisins.
15332419,Sultanas.
15333000,Vegetable by-products.
15400000,Animal or vegetable oils and fats.
15410000,Crude animal or vegetable oils and fats.
15411000,Animal or vegetable oils.
15411100,Vegetable oils.
15411110,Olive oil.
15411120,Sesame oil.
15411130,Groundnut oil.
15411140,Coconut oil.
15411200,Cooking oil.
15411210,Frying oil.
15412000,Fats.
15412100,Animal fats.
15412200,Vegetable fats.
15413000,Solid residues of vegetable fats or oils.
15413100,Oilcake.
15420000,Refined oils and fats.
15421000,Refined oils.
15422000,Refined fats.
15423000,Hydrogenated or esterified oils or fats.
15424000,Vegetable waxes.
15430000,Edible fats.
15431000,Margarine and similar preparations.
15431100,Margarine.
15431110,Liquid margarine.
15431200,Reduced or low-fat spreads.
15500000,Dairy products.
15510000,Milk and cream.
15511000,Milk.
15511100,Pasteurised milk.
15511200,Sterilised milk.
15511210,UHT milk.
15511300,Skimmed milk.
15511400,Semi-skimmed milk.
15511500,Full-cream milk.
15511600,Condensed milk.
15511700,Milk powder.
15512000,Cream.
15512100,Single cream.
15512200,Double cream.
15512300,Clotted cream.
15512900,Whipping cream.
15530000,Butter.
15540000,Cheese products.
15541000,Table cheese.
15542000,Fresh cheese.
15542100,Cottage cheese.
15542200,Soft cheese.
15542300,Feta cheese.
15543000,"Grated, powdered, blue-veined and other cheese."
15543100,Blue cheese.
15543200,Cheddar cheese.
15543300,Grated cheese.
15543400,Parmesan cheese.
15544000,Hard cheese.
15545000,Cheese spreads.
15550000,Assorted dairy products.
15551000,Yoghurt and other fermented milk products.
15551300,Yoghurt.
15551310,Unflavoured yoghurt.
15551320,Flavoured yoghurt.
15551500,Buttermilk.
15552000,Casein.
15553000,Lactose or lactose syrup.
15554000,Whey.
15555000,Ice cream and similar products.
15555100,Ice cream.
15555200,Sorbet.
15600000,"Grain mill products, starches and starch products."
15610000,Grain mill products.
15611000,Husked rice.
15612000,Cereal or vegetable flour and related products.
15612100,Wheat flour.
15612110,Wholemeal flour.
15612120,Breadmaking flour.
15612130,Plain flour.
15612150,Pastry flour.
15612190,Self-raising flour.
15612200,Cereal flour.
15612210,Corn flour.
15612220,Rice flour.
15612300,Vegetable flour and meal.
15612400,Mixes for the preparation of baker's wares.
15612410,Cake mixes.
15612420,Baking mixes.
15612500,Bakery products.
15613000,Cereal grain products.
15613100,Ground oats.
15613300,Cereal products.
15613310,Prepared breakfast cereals.
15613311,Cornflakes.
15613313,Muesli or equivalent.
15613319,Puffed wheat.
15613380,Rolled oats.
15614000,Processed rice.
15614100,Long-grain rice.
15614200,Milled rice.
15614300,Broken rice.
15615000,Bran.
15620000,Starches and starch products.
15621000,Corn oil.
15622000,Glucose and glucose products; fructose and fructose products.
15622100,Glucose and glucose products.
15622110,Glucose.
15622120,Glucose syrup.
15622300,Fructose and fructose products.
15622310,Fructose.
15622320,Fructose preparations.
15622321,Fructose solutions.
15622322,Fructose syrup.
15623000,Starches.
15624000,Tapioca.
15625000,Semolina.
15626000,Custard powder.
15700000,Animal feedstuffs.
15710000,Prepared animal feeds for farm and other animals.
15711000,Fish food.
15712000,Dry fodder.
15713000,Pet food.
15800000,Miscellaneous food products.
15810000,"Bread products, fresh pastry goods and cakes."
15811000,Bread products.
15811100,Bread.
15811200,Rolls.
15811300,Croissants.
15811400,Crumpets.
15811500,Prepared bread products.
15811510,Sandwiches.
15811511,Prepared sandwiches.
15812000,Pastry goods and cakes.
15812100,Pastry goods.
15812120,Pies.
15812121,Savoury pies.
15812122,Sweet pies.
15812200,Cakes.
15813000,Morning goods.
15820000,Rusks and biscuits; preserved pastry goods and cakes.
15821000,Toasted bread products and pastry goods.
15821100,Toasted bread products.
15821110,Toasted bread.
15821130,Crispbread.
15821150,Rusks.
15821200,Sweet biscuits.
15830000,Sugar and related products.
15831000,Sugar.
15831200,White sugar.
15831300,Maple sugar and maple syrup.
15831400,Molasses.
15831500,Sugar syrups.
15831600,Honey.
15832000,Sugar-manufacture waste.
15833000,Sugar products.
15833100,Desserts.
15833110,Flans.
15840000,Cocoa; chocolate and sugar confectionery.
15841000,Cocoa.
15841100,Cocoa paste.
15841200,"Cocoa butter, fat or oil."
15841300,Unsweetened cocoa powder.
15841400,Sweetened cocoa powder.
15842000,Chocolate and sugar confectionery.
15842100,Chocolate.
15842200,Chocolate products.
15842210,Drinking chocolate.
15842220,Chocolate bars.
15842300,Confectionery.
15842310,Boiled sweets.
15842320,Nougat.
15842400,"Fruit, nuts or fruit peel preserved by sugar."
15850000,Pasta products.
15851000,Farinaceous products.
15851100,Uncooked pasta.
15851200,Prepared pasta and couscous.
15851210,Prepared pasta.
15851220,Stuffed pasta.
15851230,Lasagne.
15851250,Couscous.
15851290,Canned pasta.
15860000,"Coffee, tea and related products."
15861000,Coffee.
15861100,Roasted coffee.
15861200,Decaffeinated coffee.
15862000,Coffee substitutes.
15863000,Tea.
15863100,Green tea.
15863200,Black tea.
15864000,Preparations of tea or maté.
15864100,Teabags.
15865000,Herbal infusions.
15870000,Condiments and seasonings.
15871000,Vinegar; sauces; mixed condiments; mustard flour and meal; prepared mustard.
15871100,Vinegar and vinegar substitutes.
15871110,Vinegar or equivalent.
15871200,"Sauces, mixed condiments and mixed seasonings."
15871210,Soya sauce.
15871230,Tomato ketchup.
15871250,Mustard.
15871260,Sauces.
15871270,Mixed condiments.
15871273,Mayonnaise.
15871274,Sandwich spreads.
15871279,Chutney.
15872000,Herbs and spices.
15872100,Pepper.
15872200,Spices.
15872300,Herbs.
15872400,Salt.
15872500,Ginger.
15880000,Special nutritional products.
15881000,Homogenised food preparations.
15882000,Dietetic products.
15884000,Baby food.
15890000,Miscellaneous food products and dried goods.
15891000,Soups and broths.
15891100,Meat soups.
15891200,Fish soups.
15891300,Mixed soups.
15891400,Soups.
15891410,Soup mixes.
15891500,Broths.
15891600,Stocks.
15891610,Mixes for stocks.
15891900,Vegetable soups.
15892000,"Vegetable saps, extracts, peptic substances and thickeners."
15892100,Vegetable saps.
15892200,Vegetable extracts.
15892400,Thickeners.
15893000,Dry goods.
15893100,Food mixes.
15893200,Dessert mixes.
15893300,Gravy mixes.
15894000,Processed food products.
15894100,Vegan packs.
15894200,Prepared meals.
15894210,School meals.
15894220,Hospital meals.
15894230,Fish meal.
15894300,Prepared dishes.
15894400,Snacks.
15894500,Vending-machine ingredients.
15894600,Sandwich fillings.
15894700,Delicatessen.
15895000,Fast-food products.
15895100,Hamburgers.
15896000,Deep-frozen products.
15897000,Canned goods and field rations.
15897100,Field rations.
15897200,Canned goods.
15897300,Food parcels.
15898000,Yeast.
15899000,Baking powder.
15900000,"Beverages, tabacco and related products."
15910000,Distilled alcoholic beverages.
15911000,Spirituous beverages.
15911100,Spirits.
15911200,Liqueurs.
15930000,Wines.
15931000,Unflavoured wines.
15931100,Sparkling wine.
15931200,Table wine.
15931300,Port.
15931400,Madeira.
15931500,Grape must.
15931600,Sherry.
15932000,Wine lees.
15940000,Cider and other fruit wines.
15941000,Cider.
15942000,Fruit wines.
15950000,Non-distilled fermented beverages.
15951000,Vermouth.
15960000,Malt beer.
15961000,Beer.
15961100,Lager.
15962000,Brewing or distilling dregs.
15980000,Non-alcoholic beverages.
15981000,Mineral water.
15981100,Still mineral water.
15981200,Sparkling mineral water.
15981300,Water in solid form.
15981310,Ice.
15981320,Snow.
15981400,Flavoured mineral waters.
15982000,Soft drinks.
15982100,Fruit squashes.
15982200,Chocolate milk.
15990000,"Tobacco, tobacco goods and supplies."
15991000,Tobacco goods.
15991100,Cigars.
15991200,Cigarillos.
15991300,Cigarettes.
15992000,Tobacco.
15992100,Manufactured tobacco.
15993000,Tobacconist supplies.
15994000,Cigarette paper and filter paper.
15994100,Cigarette paper.
15994200,Filter paper.
16000000,Agricultural machinery.
16100000,Agricultural and forestry machinery for soil preparation or cultivation.
16110000,Ploughs or disc harrows.
16120000,"Harrows, scarifiers, cultivators, weeders or hoes."
16130000,"Seeders, planters or transplanters."
16140000,Manure spreaders.
16141000,Fertiliser distributors.
16150000,Lawn or sports-ground rollers.
16160000,Miscellaneous gardening equipment.
16300000,Harvesting machinery.
16310000,Mowers.
16311000,Lawnmowers.
16311100,"Lawn, park or sports-ground mowers."
16320000,Haymaking machinery.
16330000,Straw or fodder balers.
16331000,Pick-up balers.
16340000,Harvesting and threshing machinery.
16400000,Spraying machinery for agriculture or horticulture.
16500000,Self-loading or unloading trailers and semi-trailers for agriculture.
16510000,Self-loading trailers for agriculture.
16520000,Unloading trailers for agriculture.
16530000,Self-loading semi-trailers for agriculture.
16540000,Unloading semi-trailers for agriculture.
16600000,Specialist agricultural or forestry machinery.
16610000,"Machines for cleaning, sorting or grading eggs, fruit or other produce."
16611000,Machines for cleaning produce.
16611100,Machines for cleaning eggs.
16611200,Machines for cleaning fruit.
16612000,Machines for sorting or grading produce.
16612100,Machines for sorting or grading eggs.
16612200,Machines for sorting or grading fruit.
16613000,"Machines for cleaning, sorting or grading seed, grain or dried vegetables."
16620000,Milking machines.
16630000,Machinery for preparing animal feeding stuffs.
16640000,Bee-keeping machinery.
16650000,Poultry-keeping machinery.
16651000,Poultry incubators and brooders.
16700000,Tractors.
16710000,Pedestrian-controlled agricultural tractors.
16720000,Used tractors.
16730000,Traction motors.
16800000,Parts of agricultural and forestry machinery.
16810000,Parts of agricultural machinery.
16820000,Parts of forestry machinery.
18000000,"Clothing, footwear, luggage articles and accessories."
18100000,"Occupational clothing, special workwear and accessories."
18110000,Occupational clothing.
18113000,Industrial clothing.
18114000,Coveralls.
18130000,Special workwear.
18132000,Flying clothing.
18132100,Flight jackets.
18132200,Flight suits.
18140000,Workwear accessories.
18141000,Work gloves.
18142000,Safety visors.
18143000,Protective gear.
18200000,Outerwear.
18210000,Coats.
18211000,Capes.
18212000,Cloaks.
18213000,Wind jackets.
18220000,Weatherproof clothing.
18221000,Waterproof clothing.
18221100,Waterproof capes.
18221200,Anoraks.
18221300,Raincoats.
18222000,Corporate clothing.
18222100,Suits.
18222200,Ensembles.
18223000,Jackets and blazers.
18223100,Blazers.
18223200,Jackets.
18224000,Clothing made of coated or impregnated textile fabrics.
18230000,Miscellaneous outerwear.
18231000,Dresses.
18232000,Skirts.
18233000,Shorts.
18234000,Trousers.
18235000,"Pullovers, cardigans and similar articles."
18235100,Pullovers.
18235200,Cardigans.
18235300,Sweatshirts.
18235400,Waistcoats.
18300000,Garments.
18310000,Underwear.
18311000,Slips.
18312000,Underpants.
18313000,Panties.
18314000,Bathrobes.
18315000,Stockings.
18316000,Tights.
18317000,Socks.
18318000,Nightwear.
18318100,Nightshirts.
18318200,Dressing gowns.
18318300,Pyjamas.
